Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureRatio,IncomePerAge,PromotionLag,Attrition
47.0,2,2,2.0,4.0,1,2.0,0,4.0,4.0,3,2.0,0,15972.0,6.0,0,14.0,3.0,2.5,28.5,2.0,3.0,3.0,2.0,1.0,2.0,0.1017,339.83,0.0,0
22.0,2,1,2.0,1.0,5,3.0,1,3.0,1.0,2,4.0,1,2523.0,0.0,0,14.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,0.5,114.68,1.0,0
46.0,2,2,3.0,1.0,2,1.0,1,3.0,4.0,3,3.0,1,17465.0,3.0,0,12.0,4.0,1.0,23.0,3.0,3.0,12.0,9.0,4.0,9.0,0.5,379.67,0.0,0
25.0,2,2,13.0,1.0,3,2.0,1,3.0,1.0,8,3.0,1,2096.0,1.0,0,11.0,3.0,0.0,7.0,1.0,3.0,7.0,4.0,0.0,6.0,0.875,83.84,0.0,0
43.0,1,1,9.0,5.0,3,4.0,1,3.0,2.0,2,3.0,0,5679.0,3.0,1,13.0,2.0,1.0,10.0,3.0,3.0,8.0,7.0,4.0,7.0,0.7273,132.07,0.0,0
28.0,2,1,2.0,4.0,3,1.0,1,1.0,1.0,6,4.0,1,3464.0,5.0,1,13.0,4.0,0.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,0.5,123.71,0.0,1
51.0,2,1,1.0,3.0,1,3.0,1,3.0,1.0,6,4.0,1,2723.0,1.0,0,11.0,2.0,0.0,1.0,0.5,2.0,1.0,0.0,0.0,0.0,0.5,53.39,0.0,0
43.0,1,1,27.0,3.0,1,3.0,0,3.0,3.0,4,1.0,1,10820.0,8.0,0,11.0,3.0,1.0,18.0,1.0,3.0,8.0,7.0,0.0,1.0,0.4211,251.63,0.0,0
40.0,2,2,14.0,2.0,1,4.0,0,3.0,2.0,7,1.0,1,4639.0,1.0,0,15.0,3.0,1.0,5.0,2.0,3.0,5.0,4.0,1.0,2.0,0.8333,115.98,0.0,0
27.0,2,2,10.0,3.0,2,4.0,0,2.0,2.0,7,4.0,1,5769.0,1.0,1,11.0,4.0,0.0,6.0,3.0,3.0,6.0,2.0,4.0,4.0,0.8571,213.67,2.0,0
36.0,2,2,9.0,4.0,1,3.0,1,2.0,1.0,8,1.0,2,3407.0,7.0,0,23.0,2.0,0.0,10.0,4.0,3.0,5.0,3.0,0.0,3.0,0.4545,94.64,0.0,1
29.0,2,1,1.0,3.0,1,4.0,0,2.0,4.0,5,4.0,0,16124.0,3.0,0,14.0,2.0,2.0,9.0,2.0,2.0,7.0,7.0,1.0,7.0,0.7,556.0,0.0,0
45.0,2,1,8.0,4.0,4,4.0,1,3.0,2.0,6,4.0,1,3697.0,8.5,0,14.0,1.0,2.0,12.0,3.0,3.0,10.0,9.0,7.5,8.0,0.7692,82.16,0.0,0
23.0,2,1,20.0,1.0,1,1.0,1,3.0,2.0,2,3.0,2,2272.0,0.0,0,14.0,2.0,0.0,5.0,2.0,3.0,4.0,3.0,1.0,2.0,0.6667,98.78,0.0,0
34.0,1,1,1.0,3.0,3,4.0,1,2.0,2.0,0,1.0,2,5343.0,0.0,0,20.0,3.0,0.0,14.0,3.0,3.0,13.0,9.0,4.0,9.0,0.8667,157.15,0.0,0
19.0,2,1,2.0,3.0,1,2.0,1,2.0,1.0,2,4.0,2,1102.0,1.0,0,22.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.5,58.0,1.0,1
44.0,2,1,15.0,3.0,3,1.0,0,3.0,3.0,0,4.0,1,7978.0,1.0,0,11.0,4.0,1.0,10.0,2.0,3.0,10.0,7.0,0.0,5.0,0.9091,181.32,0.0,1
47.0,0,1,14.0,4.0,5,3.0,1,3.0,2.0,6,2.0,1,5467.0,8.0,0,18.0,3.0,1.0,16.0,4.0,4.0,8.0,7.0,1.0,7.0,0.4706,116.32,0.0,0
31.0,2,2,7.0,3.0,5,2.0,1,4.0,2.0,7,4.0,1,6929.0,4.0,0,11.0,2.0,1.0,10.0,3.0,2.0,8.0,7.0,7.0,7.0,0.7273,223.52,0.0,0
46.0,1,1,1.0,3.0,3,3.0,1,2.0,3.0,0,1.0,1,10673.0,2.0,1,13.0,3.0,1.0,21.0,4.5,2.0,10.0,9.0,7.5,5.0,0.4545,232.02,0.0,0
33.0,2,1,9.0,3.0,3,1.0,1,3.0,1.0,6,4.0,1,2781.0,0.0,0,13.0,2.0,1.0,15.0,4.5,3.0,14.0,10.0,4.0,10.0,0.875,84.27,0.0,0
38.0,2,2,1.0,4.0,1,1.0,0,2.0,2.0,7,4.0,2,8686.0,4.0,0,22.0,3.0,0.0,12.0,2.0,4.0,8.0,3.0,0.0,7.0,0.6154,228.58,0.0,0
36.0,2,1,5.0,2.0,1,4.0,1,3.0,2.0,2,2.0,2,5914.0,8.0,0,16.0,4.0,0.0,16.0,3.0,4.0,13.0,11.0,3.0,7.0,0.7647,164.28,0.0,0
46.0,2,0,1.0,2.0,1,4.0,0,3.0,1.0,1,1.0,2,3423.0,6.0,0,12.0,3.0,0.0,10.0,3.0,4.0,7.0,6.0,5.0,7.0,0.6364,74.41,0.0,0
41.0,2,1,5.0,3.0,1,2.0,1,4.0,2.0,0,2.0,2,6870.0,3.0,0,12.0,1.0,0.0,11.0,3.0,1.0,3.0,2.0,1.0,2.0,0.25,167.56,0.0,0
20.0,2,2,21.0,3.0,2,3.0,1,4.0,1.0,8,4.0,2,2678.0,1.0,0,17.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,0.6667,133.9,1.0,0
31.0,2,2,5.0,3.0,5,1.0,1,3.0,2.0,7,3.0,1,8346.0,1.0,0,19.0,3.0,1.0,6.0,3.0,3.0,5.0,2.0,0.0,2.0,0.7143,269.23,0.0,0
31.0,0,1,3.0,2.0,3,3.0,1,3.0,1.0,6,1.0,0,3065.0,1.0,1,13.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,0.8,98.87,0.0,0
